original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA
"o sonho da linguagem
escreverás sobre a sujeição dos animais.
mas não hoje. lembra-te de como se move
a pantera, ainda, na jaula sem literatura
que lhe legaram. lembrar-te-ás. mas não hoje.
porque hoje é o dia em que as metáforas
despertam, a arca se abre, e a linguagem
se assemelha a uma invenção em aberto.
uma vigília de metáforas preenchendo a noite,
como um fogo-de-santelmo que, eternamente,
a cobrisse, a si e ao seu manto e aos seus símbolos.
hoje é o dia em que a noite se faz dia,
em que a linguagem celebra os animais
depois dos animais terem perecido,
mas sem que haja memória disso,
sequer nostalgia disso. apenas linguagem,
apenas sentido e som a ressoar dentro
do sentido, sem que a hipótese de um princípio
se imponha, sem que a hipótese de um fim se imponha.
haverás de despertar, tu também,
para a vigília das metáforas,
para o sonho da linguagem.","the dream of language
you’ll write about the subjection of animals.
but not today. remember how the panther
still moves in the literature-free cage
it inherited. you’ll remember. but not today.
because today’s the day when metaphors
awaken, the chest opens up, and language
resembles an invention in progress.
a vigil of metaphors filling up the night,
as if it and its mantle and its symbols
were covered by an eternal saint elmo’s fire.
today’s the day when night becomes day,
when language celebrates animals
after the animals have perished
but with no trace of them surviving
in memory or in longing. just language,
just meaning and sound echoing inside
meaning, with no possibility of a beginning
asserting itself, no possibility of an end.
you too will have to wake up
to the vigil of metaphors,
to the dream of language.",pt_XX,en_XX,"the dream of language
you will write about the subjection of animals.
but not today. remember how the panther moves,
still, in the literature-less cage
they left her. you will remember. but not today.
because today is the day when metaphors
awaken, the ark opens, and language
resembles an invention in progress.
a vigil of metaphors filling the night,
like a will-o'-the-wisp perpetually
covering her, and her cloak and her symbols.
today is the day when night becomes day,
when language celebrates the animals
after the animals have perished,
but with no memory of it,
no nostalgia for it. just language,
just meaning and sound echoing inside
the meaning, without the hypothesis of a beginning
asserting itself, without the hypothesis of an end asserting itself.
you will awaken, too,
to the vigil of metaphors,
to the dream of language."
"a máscara
esta luz animada e desprendida
duma longínqua estrela misteriosa
que, vindo reflectir-se em nosso rosto,
acende nele estranha claridade;
esta lâmpada oculta em nossa máscara
tornada transparente e radiante
de alegria, de dor ou desespero
e de outros sentimentos emanados
do coração dum anjo ou dum demónio;
este retrato ideal e verdadeiro,
composto de alma e corpo e de que somos
a trágica moldura, errando à sorte,
é ela, é ela, a nossa aparição,
feita de estrelas, sombras, ventanias
e séculos sem fim surgindo, enfim,
cá fora, sobre a terra, à luz do sol.","the mask
that living and unfettered light
arriving from a distant, mysterious star
and reflecting off our face,
making it shine with a strange glow. . .
that hidden lamp which turns our mask
transparent and radiant
with joy, sorrow or despair
and still other feelings arisen
from an angel’s or a demon’s heart. . .
that true and ideal portrait composed
of soul and body and whose frame
we are, aimlessly wandering. . .
that’s it, yes, our apparition, us,
made of stars, shadows, raging winds
and countless centuries, finally emerging
out here, on earth, in the light of the sun.",pt_XX,en_XX,"the mask
this lively and detached light
from a distant mysterious star
which, coming to reflect on our face,
ignites in it a strange brightness;
this hidden lamp in our mask
made transparent and radiant
with joy, pain or despair
and other feelings emanating
from the heart of an angel or a demon;
this ideal and true portrait,
composed of soul and body and of which we are
the tragic frame, wandering by chance,
it is her, it is her, our appearance,
made of stars, shadows, gusts of wind
and endless centuries emerging, at last,
out here, on earth, in the sunlight."
"antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou
uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou
de mim sou feito alheo
antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","between myself and me
between myself and me
i don’t know what’s emerged
to make me my own enemy.
for a time i lived as a fool,
at peace with myself.
now i see the great harm
a great danger can wreak.
disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.
i’m a stranger to myself.
my cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
fresh pain, fresh fear
have taken ahold of me.
here i am, trapped.",pt_XX,en_XX,"between myself in me
I do not know what arose
that I am so my enemy
for a while with great deception
I lived myself with myself
now in the greatest danger
if it discovered me more harm
dearly cost a disillusion
and since this did not kill me
expensive it cost me
I am made foreign to myself
between care and care
there is an evil spread
that for my great evil came to me
new pain new fear
this was what killed me
that I am so my enemy"
"a terra do nunca
se eu fosse para a terra do nunca,
teria tudo o que quisesse numa cama de nada:
os sonhos que ninguém teve quando
o sol se punha de manhã;
a rapariga que cantava num canteiro
de flores vivas;
a água que sabia a vinho na boca
de todos os bêbedos.
iria de bicicleta sem ter de pedalar,
numa estrada de nuvens.
e quando chegasse ao céu, pisaria
as estrelas caídas num chão de nebulosas.
a terra do nunca é onde nunca
chegaria se eu fosse para a terra do nunca.
e é por isso que a apanho do chão,
e a meto em sacos de terra do nunca.
um dia, quando alguém me pedir a terra do nunca,
despejarei todos os sacos à sua porta.
e a rapariga que cantava sairá da terra
com um canteiro de flores vivas.
e os bêbedos encherão os copos
com a água que sabia a vinho.
na terra do nunca, com o sol a pôr-se
quando nasce o dia.","the land of never
if i went to the land of never,
i would have everything i wanted in a bed of nothing:
the dreams that no one had when
the sun came up in the morning;
the girl who sang in a bed
of vivid flowers;
the water that tasted of wine in the mouth
of every drunk.
i would ride my bicycle without having to pedal,
down a street of clouds.
and when i had reached the sky, i’d step
on the stars that had fallen on the misty ground.
the land of never is where i would never
arrive if i went to the land of never.
that is why i scoop up the ground,
filling up bags with the earth of never.
one day, when someone asks me about the land of never,
i’ll empty all the bags on their doorstep.
and the girl who sang will come out of the earth
with a bed of vivid flowers.
and the drunks will fill their glasses
with the water that tastes of wine.
in the land of never, with the sun rising
when the day is born.",pt_XX,en_XX,"the land of never
if I were to go to the land of never,
I would have everything I wanted on a bed of nothing:
the dreams that no one had when
the sun set in the morning;
the girl who sang in a flower bed
of living flowers;
the water that tasted like wine in the mouths
of all the drunkards.
I would ride a bike without having to pedal,
on a road of clouds.
and when I reached the sky, I would step
on the fallen stars on a floor of nebulae.
the land of never is where never
I would arrive if I were to go to the land of never.
and that's why I pick it up from the ground,
and put it in bags of the land of never.
one day, when someone asks me for the land of never,
I will empty all the bags at their door.
and the girl who sang will come out of the land
with a flower bed of living flowers.
and the drunkards will fill their glasses
with the water that tasted like wine.
in the land of never, with the sun setting
when the day breaks."
"exaltação
viver!... beber o vento e o sol!... erguer
ao céu os corações a palpitar!
deus fez os nossos braços pra prender,
e a boca fez-se sangue pra beijar!
a chama, sempre rubra, ao alto, a arder!...
asas sempre perdidas a pairar,
mais alto para as estrelas desprender!...
a glória!... a fama!... o orgulho de criar!...
da vida tenho o mel e tenho os travos
no lago dos meus olhos de violetas,
nos meus beijos extáticos, pagãos!...
trago na boca o coração dos cravos!
boêmios, vagabundos, e poetas:
— como eu sou vossa irmã, ó meus irmãos!...","exaltation
to live!... to drink the wind and sun!...
to lift up to the sky our throbbing
hearts! god made our arms for grasping!
and gave us mouths of blood for kissing!
the always red-glowing flame on high!...
the always straying wings that soar
still higher, ready to uproot the stars!...
glory!... fame!... the pride of creating!...
life’s honey and life’s bitterness
dwell in the lake of my eyes like violets
and in my ecstatic, pagan kisses!...
the heart of carnations fills my mouth!
o bohemians, tramps and poets,
how truly, brothers, i’m your sister!",pt_XX,en_XX,"exaltation
to live!... drink the wind and the sun!... raise
hearts to the sky, beating fast!
God made our arms to embrace,
and the mouth was made blood to kiss!
the flame, always red, burning high!...
wings always lost, hovering,
higher to release to the stars!...
glory!... fame!... the pride of creation!...
from life I have the honey and the bitterness
in the lake of my violet eyes,
in my ecstatic, pagan kisses!...
I carry in my mouth the heart of carnations!
bohemians, wanderers, and poets:
— how I am your sister, oh my brothers!..."
"as palavras
são como um cristal,
as palavras.
algumas, um punhal,
um incêndio.
outras,
orvalho apenas.
secretas vêm, cheias de memória.
inseguras navegam:
barcos ou beijos,
as águas estremecem.
desamparadas, inocentes,
leves.
tecidas são de luz
e são a noite.
e mesmo pálidas
verdes paraísos lembram ainda.
quem as escuta? quem
as recolhe, assim,
cruéis, desfeitas,
nas suas conchas puras?","words
they are like a crystal,
words.
some a dagger,
some a blaze.
others,
merely dew.
secret they come, full of memory.
insecurely they sail:
cockleboats or kisses,
the waters trembling.
abandoned, innocent,
weightless.
they are woven of light.
they are the night.
and even pallid
they recall green paradise.
who hears them? who
gathers them, thus,
cruel, shapeless,
in their pure shells?",pt_XX,en_XX,"The words
are like a crystal,
the words.
Some, a dagger,
a fire.
Others,
just dew.
Secret they come, full of memory.
Insecure they sail:
boats or kisses,
the waters tremble.
Helpless, innocent,
light.
Woven they are of light
and they are the night.
And even pale
green paradises they still recall.
Who listens to them? Who
gathers them, thus,
cruel, broken,
in their pure shells?"
"[neil young]
na hora em que eu mais ruía
o sol aplainava o relvado, palmeiras
ondulavam num lago turvo
longe o escaravelho porvindoiro
que as reduziu a um coto
assemelhando-as a um ananás que degrada hoje
pelos jardins
o repuxo animava sem triunfo o pântano
da juventude
as varandas em fogo
o verão começando pelo fim
horas extraordinárias aquelas
em que as aves adiavam o repouso por causa
dos insectos do turno sequente
ourados absortos estrepitantes
a hora em que mais ninguém deitava como eu
a bicicleta sobre a falta
e se sentava na relva prendendo as lágrimas
as mãos tapando o rosto o rosto entre os geolhos e uma
roda atrás a girar
não havia o ecrã de bolso oportuno
era inevitável encarar o que não tem conserto
nem nunca terá
era do dia o instante altíloquo
uma harmónica crepitava nos auscultadores
feria de morte o touro da tarde
esse búfalo ermo que se aparta da manada
para ficar-se
os subidos candeeiros acendiam
havia um muro recém pintado
sujo já por um grafito de província
um cão passava ao largo levantava o focinho ao
perfume dos jantares
que chegava de onde
se entrevia o espalha-cor dos televisores
havia o farrapo de lua
como flanela posta sobre a ganga das alturas
agraudava os dós arrumados
na caixa do futuro
a hédera das extensões percorria aquela hora
uma ideia sulcava a charneca celeste
o coração alpinista no avesso dos volumes
rarefeito
o mundo era já uma seara de nojo
e fartura – belo desastroso feroz – lugar de forças
e destruições
eu tacteava de olhos fechados
puro intrínseco
procurava um celeiro urbano onde guardar
o ouro-sémen pronto a detonar
a libélula extrema o grilo inicial
a andorinha cujo ninho resulta de um cúmulo
de lama e ervas secas e rasoira
as superfícies alimentando-se no ar
nas minhas costas o exíguo refrigério
da biblioteca pública
àquela hora antro de nebulosos soldados
repousando da luta de guerrilha
hasta la derrota, siempre!
infligiam estragos mínimos a um inimigo
bronco mas relutante
apenas tombavam nas emboscadas aqueles
como eu mais sorumbáticos
tanto oito visível ainda sobre o chão
lavrado à força de rodar no mesmo sítio
ousara trespassar o pórtico do infinito
finava sempre inclinado sobre o jantar","[neil young]
that moment when i was really falling apart
and the sun lingered over the lawn, and the palms
billowed above the turbid lake
faraway the promised beetle
reduced those palms to a stump
until they seemed like a pineapple which these days
rots in the gardens
the fountain blandly animated the swamp
of the young
the balconies on fire
the summer beginning at its end
overtime hours those
in which the birds delayed their naps because
of the next shift of insects
hallucinating self-absorbed clamorous
at that hour no one else like me setting their bicycle
down on the dearth
sitting on the grass holding back tears
covering their face with their hands, face between their knees and a
wheel behind still spinning
there was no convenient pocket screen
facing up to that which can’t be fixed and never will be
was inevitable
it was on that day the eloquent moment
a harmonica crackled in my headphones
mortally wounding the afternoon’s bull
that solitary buffalo that steers clear of the herd
to die
the high lamps lit up
a newly painted wall
already marked with a small town’s graffito
a dog went past lifting its snout to the
scent of dinners
which came from where
the televisions’ color-blend rose in the air
there was the shred of moon
like flannel sewn onto the denim of the heights
it nurtured hoarded hurt
in the box of the future
the ivy of extensions twined through that hour
an idea furrowed the celestial fen
the mountaineer heart inside the volumes
rarefied
the world was already a glebe of lamentation
and overabundance – beautiful disastrous fierce – locus of forces
and ruin
i fingered with my eyes closed
pure intrinsic
searched out an urban granary where i could keep
the semen-gold ready to detonate
the extreme dragonfly the first cricket
the swallow who got up its nest in a cumulus
of mud and dried weeds who smooths
the surfaces feeding itself in the air
at my back the exiguous cooling
of the public library
at that hour a cavern of nebulous soldiers
resting from their war of resistance
hasta la derrota, siempre!
they inflicted little damage on a rough
but reluctant enemy
only those as sullen as i
walked into ambushes
so many figure eights still visible on the ground
forcefully hoed up from repeatedly going round in the same place
i had dared to go past the gate of the infinite
always ending up bent over dinner",pt_XX,en_XX,"[Neil Young]
At the time when I most crumbled
the sun flattened the lawn, palm trees
undulated in a murky lake
far off the future beetle
that reduced them to a stump
resembling a decaying pineapple today
through the gardens
the fountain animated without triumph the swamp
of youth
the balconies in flames
summer starting at the end
extraordinary hours those
when the birds postponed rest because
of the insects of the next shift
golden absorbed deafening
the time when no one else lay like me
the bicycle over the void
and sat on the grass holding back the tears
hands covering the face the face between the eyes and a
wheel spinning behind
there was no convenient pocket screen
it was inevitable to face what cannot be fixed
nor will ever
it was the moment's loquacious day
a harmonica crackled in the headphones
fatally wounded the bull in the afternoon
that solitary buffalo that separates from the herd
to stay
the tall streetlights lit up
there was a freshly painted wall
already dirty with a provincial graffiti
a dog passed by lifted its nose to the
perfume of dinners
coming from where
the glow of television sets could be seen
there was the ragged moon
like a cloth laid over the denim of the heights
aggravated the arranged C notes
in the box of the future
the ivy of extensions ran through that hour
an idea plowed the celestial heath
the mountaineer heart in the reverse of volumes
rarefied
the world was already a field of disgust
and abundance - beautiful disastrous fierce - place of forces
and destructions
I groped with closed eyes
pure intrinsic
looking for an urban barn to store
the gold-seed ready to detonate
the extreme dragonfly the initial cricket
the swallow whose nest results from a heap
of mud and dry grass and rake
the surfaces feeding in the air
on my back the meager refreshment
of the public library
at that time a den of nebulous soldiers
resting from guerrilla warfare
hasta la derrota, siempre!
inflicted minimal damage on a
clumsy but reluctant enemy
only those who, like me, were more somber
fell into the ambushes
the visible eight still on the ground
plowed by rotating in the same place by force
had dared to pierce the portal of infinity
always dying leaning over dinner"
"o corpo espacejado
perdia-se-lhe o corpo no deserto, que dentro dele aos poucos conquistava um espaço cada vez maior, novos contornos, novas posições, e lhe envolvia os órgãos que, isolados nas areias, adquiriam uma reverberação particular. ia-se de dia para dia espacejando. as várias partes de que só por abstracção se chegava à noção de um todo começavam a afastar-se umas das outras, de forma que entre elas não tardou que espumejassem as marés e a própria via-láctea principiasse a abrir caminho. a sua carne exercia aliás uma enigmática atracção sobre as estrelas, que em breve conseguiu assimilar, exibindo-as, aos olhos de quem o não soubesse, como luminosas cicatrizes cujo brilho, transmutado em sangue, lentamente se esvaía. ele mais não era, nessas ocasiões, do que um morrão, nas cinzas do qual, quase imperceptível, se podia no entanto detectar ainda a palpitação das vísceras, que a mais pequena alteração na direcção do vento era capaz de pôr de novo a funcionar. resolveu então plastificar-se. principiou pelas extremidades, pelos dedos das mãos e pelos pés, mas passado pouco tempo eram já os pulmões, os intestinos e o coração o que minuciosamente ele embrulhava em celofane, contra o qual as ondas produziam um ruído
aterrador.","the strewn body
his body was getting lost in the desert, which kept gaining more ground and redefining its borders inside him, causing his organs, isolated by the surrounding sands, to reverberate in a strange new way. day by day he was getting more strewn out. the various parts of what could only abstractly be conceived as a whole were beginning to spread apart, such that the ocean tides were soon foaming between them, and the milky way itself started cutting through. his flesh, in fact, exerted an enigmatic attraction on the stars, which in due course it managed to assimilate, exhibiting them (to the unknowing) as so many luminous scars whose glow, transformed into blood, slowly dwindled. on these occasions he was no more than an ember among the ashes, though one could still make out the faint throbbing of his guts, apt to be quickened by the slightest change in the wind’s direction. so he decided on a plastic-coated self. he began with his extremities, his fingers and feet, but soon he was meticulously wrapping his lungs, intestines and heart in cellophane, against which the waves made a frightful sound.",pt_XX,en_XX,"The spaced-out body
his body lost itself in the desert, which slowly conquered a larger space within him, new contours, new positions, enveloping his organs that, isolated in the sands, acquired a particular reverberation. Day by day, he was spacing out. The various parts, from which only by abstraction one could grasp the notion of a whole, began to drift apart, so that soon the tides foamed between them, and the Milky Way itself began to make its way. His flesh, moreover, exerted an enigmatic attraction on the stars, which he soon managed to assimilate, displaying them, to the eyes of those who did not know, as luminous scars whose brightness, transmuted into blood, slowly faded away. He was then nothing more, on those occasions, than a scorched stump, in the ashes of which, almost imperceptibly, one could still detect the palpitation of the viscera, which even the slightest change in the direction of the wind could set back in motion. He decided then to plasticize himself. He began with the extremities, the fingers of the hands and the feet, but soon it was the lungs, the intestines, and the heart that he meticulously wrapped in cellophane, against which the waves produced a terrifying noise."
"meio-dia
meio-dia. um canto da praia sem ninguém.
o sol no alto, fundo, enorme, aberto,
tornou o céu de todo o deus deserto.
a luz cai implacável como um castigo.
não há fantasmas nem almas,
e o mar imenso solitário e antigo,
parece bater palmas.","midday
midday. a corner of the deserted beach.
the huge, deep, open sun on high
has chased all the gods from the sky.
the harsh light falls like a punishment.
there are no ghosts and no souls,
and the vast, ancient, solitary sea
loudly claps its hands.",pt_XX,en_XX,"midday
midday. a corner of the beach with no one.
the sun high up, deep, immense, open,
turned the sky of every god into a desert.
the light falls mercilessly like a punishment.
there are no ghosts or souls,
and the vast, lonely and ancient sea,
seems to be clapping."
"o silêncio incompleto
que silêncio incompleto entre tantos rumores!
agora, e só agora, eles tentam dizer-nos
que amaram e esqueceram, e sempre ficaram longe
da verdade final. o amor é uma dívida
irresgatável contraída na escuridão
e só morte libera os pagadores relapsos.
tudo terminará num oceano de sombras.
os mortos também acabam, após tantas lágrimas
e missas cantadas e anúncios nos jornais.
nascemos para nos evaporar, após ter sido
a água que cobre a rampa do estaleiro.
nascemos para dizer o nosso nome ao vento.
nossos corpos rastejaram até a entrada da gruta.
mas onde estavam as almas naquele instrante
de êxtase e servidão? estavam escondidas
como os morcegos, dormiam plácidas como as placentas.","incomplete silence
what an incomplete silence among so many sounds!
now, and only now, they are trying to tell us
that they loved and they forgot, and always remained far
from any final truth. love is an unredeemable
debt contracted in the dark
and only death can free the debtors from default.
everything will reach its end in an ocean of shadows.
the dead also cease, after so many tears,
and masses sung and notices in the daily newspapers.
we are born to evaporate, after having been
water lapping at the boatyard launching ramp.
we are born to say our name to the wind.
our bodies crawled to the entrance of the cave.
but where were our souls at that moment
of ecstasy and bondage? they were hidden
like bats, sleeping, as placid as placentas.",pt_XX,en_XX,"the incomplete silence
what incomplete silence amidst so many rumors!
now, and only now, they try to tell us
that they loved and forgot, and always remained far
from the ultimate truth. love is an irredeemable debt
contracted in darkness
and only death releases the negligent payers.
everything will end in an ocean of shadows.
the dead also come to an end, after so many tears
and sung masses and announcements in the newspapers.
we are born to evaporate, after having been
the water that covers the shipyard ramp.
we are born to say our name to the wind.
our bodies crawled to the entrance of the cave.
but where were the souls in that moment
of ecstasy and servitude? they were hidden
like bats, slept peacefully like placentas."
