original_poem,translated_poem,src_lang,tgt_lang,topic
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,0
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","gentes dames et gais seigneurs,
que votre bonté soit bénie :
mille fois merci, de bon cœur,
et dieu vous prête longue vie,
vous guide sur roche ou prairie,
et vous garde d’être affligés ;
ici n’ayant qu’âmes amies,
contre mon gré, je prends congé.
vous m’avez tant traité en roi,
tant servi en viande et en vin,
christ qui fut cloué sur la croix
vous soit un gracieux soutien,
et quelque soit votre chemin,
qu’il vous garde d’être affligés ;
car vous m’avez comblé de biens,
contre mon gré, je prends congé.
il me faut cependant partir,
je ne puis rester sur ces terres ;
car toute chose doit finir,
jusqu’aux amitiés les plus chères ;
quoi que l’amour en nous espère
la mort viendra nous déloger ;
quand donc nous serons mis en bière
à contre-gré, prenons congé.
salutations, ô bonnes gens,
salutations, hivers, verdeurs,
salutations, petits et grands,
mille mercis pour tant d’ardeur !
mais qu’un dessein vous tienne à cœur,
je reviendrai sans déroger –
christ vous préserve du malheur,
car à présent, je prends congé.",en_XX,fr_XX,0
"i dwell in a lonely house i know
that vanished many a summer ago,
and left no trace but the cellar walls,
and a cellar in which the daylight falls
and the purple-stemmed wild raspberries grow.
o’er ruined fences the grape-vines shield
the woods come back to the mowing field;
the orchard tree has grown one copse
of new wood and old where the woodpecker chops;
the footpath down to the well is healed.
i dwell with a strangely aching heart
in that vanished abode there far apart
on that disused and forgotten road
that has no dust-bath now for the toad.
night comes; the black bats tumble and dart;
the whippoorwill is coming to shout
and hush and cluck and flutter about:
i hear him begin far enough away
full many a time to say his say
before he arrives to say it out.
it is under the small, dim, summer star.
i know not who these mute folk are
who share the unlit place with me—
those stones out under the low-limbed tree
doubtless bear names that the mosses mar.
they are tireless folk, but slow and sad—
though two, close-keeping, are lass and lad,—
with none among them that ever sings,
and yet, in view of how many things,
as sweet companions as might be had.","je demeure dans une maison à l’écart
qui disparut il y a bien des étés,
et dont rien ne reste hormis la cave,
où pénètre la lumière du jour
et où poussent les framboises violettes.
les clôtures détruites sont couvertes de vigne,
les bois reviennent sur les champs qui connurent la faux ;
de l’ancien arbre fruitier a grossi un taillis
de branches neuves que frappe le grand pic ;
la plaie du sentier qui mène au puits s’est refermée.
mon cœur languit étrangement, comme je demeure
dans ce logis disparu qui se tient tout au bout
de cette route oubliée, à l’abandon,
qui ne baigne plus le crapaud dans sa poussière.
la nuit tombe ; les chauves-souris voltigent et plongent ;
l’engoulevent arrive pour pousser son cri,
se taire, claqueter, battre des ailes :
je l’entends de bien assez loin
qui souvent commence son discours
avant même qu’il n’arrive pour le débiter.
c’est sous une petite et pâle étoile d’été.
je ne sais qui sont ces muettes gens
qui partagent cet endroit sombre avec moi —
ces pierres qui gisent sous les basses frondaisons
portent à n’en pas douter des noms mangés de mousse.
ce sont gens inlassables, mais lents et tristes —
deux pourtant, enlacés, sont jouvenceaux, —
dont jamais aucun ne chante,
mais qui, en pareilles circonstances,
me sont la plus douce des compagnies.",en_XX,fr_XX,0
"1.
the road was long and the road was hard
and the sky was cold and grey:
the dead white moon was a frozen shard
in the dim pale dawn of day:
but thief and harlot, king and guard—
warrior, wizard, knave and bard —
rode with me all the way.
2.
the wind was sharp as a whetted knife
as it blew from the wet salt seas:
the storm wind stirred to a ghostly life
the gaunt black skeletal trees:
but i drank the foaming wine of life—
wine of plunder and lust and strife
down to the bitter lees.
3.
a boy, from the savage north i came
to cities of silk and sin:
with torch and steel, in blood and flame,
i won what a man may win:
aye, gambled and won at the devil’s game—
splendor and glory and glittering fame—
and mocked at death’s skull-grin.
4.
and there were foemen to fight and slay
and friends to love and trust:
and crowns to conquer and toss away
and lips to taste with lust:
and songs to keep black night at bay—
and wine to swill to the break of day—
what matter the end be dust?
5.
i’ve won my share of your gems and gold,
they crumble into clods:
i’ve gorged on the best that life can hold,
and devil take the odds:
the grave is deep and the night is cold—
the world’s a skull-full of stinking mould —
and i laugh at your little gods!
6.
the lean road slunk through a blasted land
where the earth was parched and black
but we were a merry, jesting band
who asked no easier track:
rogue and reaver and firebrand—
and life rode laughing at my right hand —
and death rode at my back.
7.
the road was dusty and harsh and long—
crom, but a man gets dry! —
i’m old and weary and death is strong
but flesh was born to die:
hai, gods! but it was a merry throng—
rode by my side with jest and song—
under an empty sky.
8.
i’ve heard fat, cunning priestlings tell
how damned souls writhe and moan:
that paradise they can buy and sell
for gold and gold alone:
to the flames with scripture and priest as well—
i’ll stride down the scarlet throat of hell—
and dice for the devil’s throne!
9.
i faced life boldly and unafraid —
should i flinch as death draws near?
life’s but a game death and i have played
many a wearisome year:
hai! to the gallant friends i made—
slave and swordsman and lissom maid! —
i begrudge no foot of the road i strayed —
the road which endeth . . . here.","1.
la route était longue et semée d’embûches,
le ciel était gris et froid :
la lune était blême comme la mort, un bris de glace
dans la pâleur ténue de l’aube :
mais truand et catin, roi et garde —
guerrier, magicien, larron et barde —
me firent escorte jusqu’au bout.
2.
comme il portait l’embrun humide à goût de sel,
le vent âpre semblait un couteau aiguisé :
sous la bourrasque les arbres étiques remuaient
leurs squelettes noirs, leur vie de spectre :
mais je bus le vin mousseux de la vie —
vin de pillage, de désir et de lutte —
jusqu’à la lie amère.
3.
guère plus qu’un enfant, je vins du nord sauvage
jusqu’aux cités de la soie et du péché :
par la torche et le fer, dans le sang et l’incendie,
je m’emparai de tout ce qu’un homme peut saisir :
oui-da, je jouai et gagnai au jeu du diable —
splendeur, gloire et renom étincelant —
et je raillai le rictus osseux de la mort.
4.
des ennemis à combattre et à anéantir, il y en eut,
et des amis à chérir, à qui se fier :
et des couronnes à conquérir, à jeter avec dédain,
et des lèvres à happer, en proie au désir :
et des chansons pour tenir à distance la nuit noire —
et du vin à répandre jusqu’au point du jour —
qu’importe si à la fin, il n’y a que poussière ?
5.
j’ai bien gagné ma part de vos gemmes, de votre or,
qui croulent en tas informes :
je me suis gavé de ce que la vie offre de meilleur,
et le diable a pris le pari :
la tombe est profonde, la nuit très froide —
le monde est un crâne puant le moisi et le rance —
et je me ris de vos dieux mesquins !
6.
la route mince sinuait à travers un pays désolé
où la terre était aride et noire,
mais parmi notre bande de joyeux plaisantins,
pas un ne réclamait de voie plus aisée :
ni ruffian, ni pillard ni frondeur —
à ma droite, la vie galopait en riant —
et la mort était sur mes talons.
7.
la route poussiéreuse s’étirait, toujours rude —
par crom, un homme parfois se sent le gosier sec !
me voici vieux et las, et puis la mort est forte,
mais c’est ainsi, la chair est faite pour mourir :
aha, dieux ! mais ce fut une troupe joyeuse —
qui chevaucha à mes côtés, pour chanter et rire —
sous un ciel vide.
8.
j’ai entendu les beaux discours de prêtres bien gras,
selon quoi les damnés se tordent en gémissant :
ce paradis-là, ils peuvent bien l’acheter et le vendre
pour de l’or, rien que de l’or :
au feu ! les saintes écritures comme la prêtraille —
j’irai à grands pas dans la gorge écarlate de l’enfer
— et jouerai aux dés le trône du diable !
9.
j’ai affronté la vie avec audace et sans trembler —
faudrait-il que je recule lorsque la mort approche ?
la vie n’est qu’un jeu auquel j’ai joué avec la mort
durant bien des années éreintantes :
ohé ! aux amis vaillants que je me fis —
esclave, escrimeur et servante gracile ! —
je ne me repens d’aucune aventure sur ma route —
la route qui s’achève… ici.",en_XX,fr_XX,0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","brillante étoile, que ne suis-je constant comme toi —
non pas fixé dans l’air nocturne, dans une splendide solitude,
à observer, paupières éternellement ouvertes,
tel de la nature l’ermite patient et sans sommeil,
les eaux mouvantes comme des prêtres s’acquittant de leur tâche
de pure ablution, le long des rives humaines qui parcourent la terre,
ou considérant la fraîcheur tombée doucement du masque
de la neige sur les monts et les landes —
non — mais toujours constant, toujours immuable,
soutenu par la poitrine ferme de ma bien-aimée,
à la sentir pour toujours tomber doucement et remonter,
pour toujours dans l’éveil d’un trouble délicat,
sans cesse, sans cesse à l’écoute de sa tendre inspiration,
et vivre ainsi toujours — ou bien choir dans la mort.",en_XX,fr_XX,0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","vive étoile, avec ta fermeté que j’advienne —
non dans un éclat seul appendu dans la nuit,
aux aguets, ouvrant des paupières éternelles
tel de la nature l’ermite sans sommeil,
des eaux mouvantes qui tâchent comme des prêtres
à la pure ablution de toute rive humaine,
à l’affût du masque doux, tombé à l’instant,
de la neige sur les montagnes et les landes —
non — pourtant ferme encore, indéfectible encore,
ma tête sur le sein mûr de ma bien-aimée,
pour sentir à jamais son doux balancement,
à jamais éveillé dans un trouble plaisant,
encore, encore à l’écoute de son haleine,
ainsi vivre toujours — ou sombrer dans la mort.",en_XX,fr_XX,0
"i remember
the dark woods, masking slopes of sombre hills;
the grey clouds’ leaden everlasting arch;
the dusky streams that flowed without a sound,
and the lone winds that whispered down the passes.
vista upon vista marching, hills on hills,
slope beyond slope, each dark with sullen trees,
our gaunt land lay. so when a man climbed up
a rugged peak and gazed, his shaded eye
saw but the endless vista–hill on hill,
slope beyond slope, each hooded like its brothers.
it was a gloomy land that seemed to hold
all winds and clouds and dreams that shun the sun,
with bare boughs rattling in the lonesome winds,
and the dark woodlands brooding over all,
not even lightened by the rare dim sun
which made squat shadows out of men; they called it
cimmeria, land of darkness and deep night.
it was so long ago and far away
i have forgotten the very name men called me.
the axe and flint-tipped spear are like a dream,
and hunts and wars are like shadows. i recall
only the stillness of that sombre land;
the clouds that piled forever on the hills,
the dimness of the everlasting woods.
cimmeria, land of darkness and the night.
oh, soul of mine, born out of shadowed hills,
to clouds and winds and ghosts that shun the sun,
how many deaths shall serve to break at last
this heritage which wraps me in the grey
apparel of ghosts? i search my heart and find
cimmeria, land of darkness and the night.","je me souviens
de bois enténébrés, masquant les versants des mornes collines ;
la voûte de plomb immuable des nuages gris ;
les cours d’eau assombris qui coulaient sans bruit,
et les vents solitaires qui bruissaient le long des ravins.
notre perpétuel paysage de collines suivant des collines,
côte après côte, sous l’ombrage de leurs arbres ternes,
qui s’étirait en une contrée sinistre. quand donc un homme escaladait
un pic biscornu et contemplait alentour, son œil obscurci
ne découvrait que le même paysage interminable – colline suivant colline,
côte après côte, chacune recouverte comme sa parente.
c’était une contrée sinistre qui semblait garder
tous les vents, nuages et rêves qui fuient le soleil,
des frondaisons qui frémissaient dans les vents solitaires,
et les sombres forêts couvraient tout cela,
qu’un rare et terne soleil ne pouvait éclaircir
au point que les hommes n’étaient plus que des ombres tapies ; ils l’appelaient
cimmérie, pays de ténèbres et de nuit profonde.
c’était en un temps et un lieu si lointains
que j’en ai oublié même le nom qui m’était donné.
la hache et la lance à pointe de silex sont tels un songe,
et les chasses et les guerres sont nébuleuses. je me rappelle
seulement le silence de cette morne contrée ;
les nuages amassés toujours sur les collines,
l’obscur des bois éternels.
cimmérie, pays des ténèbres et de la nuit.
oh, âme mienne, née des collines brumeuses,
des nuages, des vents et des fantômes qui fuient le soleil,
combien me faudra-t-il de morts pour en finir
avec cet héritage qui me revêt du gris
accoutrement des spectres ? je scrute mon cœur et trouve
cimmérie, pays des ténèbres et de la nuit.",en_XX,fr_XX,0
"i remember
the dark woods, masking slopes of sombre hills;
the grey clouds’ leaden everlasting arch;
the dusky streams that flowed without a sound,
and the lone winds that whispered down the passes.
vista upon vista marching, hills on hills,
slope beyond slope, each dark with sullen trees,
our gaunt land lay. so when a man climbed up
a rugged peak and gazed, his shaded eye
saw but the endless vista–hill on hill,
slope beyond slope, each hooded like its brothers.
it was a gloomy land that seemed to hold
all winds and clouds and dreams that shun the sun,
with bare boughs rattling in the lonesome winds,
and the dark woodlands brooding over all,
not even lightened by the rare dim sun
which made squat shadows out of men; they called it
cimmeria, land of darkness and deep night.
it was so long ago and far away
i have forgotten the very name men called me.
the axe and flint-tipped spear are like a dream,
and hunts and wars are like shadows. i recall
only the stillness of that sombre land;
the clouds that piled forever on the hills,
the dimness of the everlasting woods.
cimmeria, land of darkness and the night.
oh, soul of mine, born out of shadowed hills,
to clouds and winds and ghosts that shun the sun,
how many deaths shall serve to break at last
this heritage which wraps me in the grey
apparel of ghosts? i search my heart and find
cimmeria, land of darkness and the night.","je me rappelle
les bois obscurs, masquant les pentes de sombres collines ;
l’arche éternelle d’un ciel de plomb ;
les ruisseaux blafards qui coulaient sans un bruit,
et les vents solitaires qui murmuraient le long des passes.
enfilade de panoramas, de collines,
versant après versant, chacun ombré par des arbres mornes,
ainsi s’étendait notre terre de désolation. aussi, lorsqu’un homme grimpait
un pic déchiqueté d’où il regardait longuement, son regard ombreux
ne voyait que panorama sans fin – enfilade de collines,
versant après versant, chacun voilé comme ses frères.
c’était un pays lugubre qui semblait contenir
tous les vents, nuées et songes qu’effarouche le soleil,
et dont les rameaux dénudés s’entrechoquaient dans les vents solitaires,
les sombres terres boisées ruminant dans les hauteurs,
pas même éclaircies par le rare soleil terne
qui réduisait les hommes en ombres trapues ; ils l’appelaient
cimmérie, terre de ténèbres et de nuit noire.
c’était il y a si longtemps, et si loin,
j’en ai oublié le nom même que les hommes me donnaient.
hache et lance à pointe de silex sont pareilles à un rêve,
chasses et guerres semblent des ombres. je me rappelle
seulement le silence de ce sombre pays ;
les nuées qui s’amassaient sans cesse sur les collines,
le terne des bois éternels.
cimmérie, terre des ténèbres et de la nuit.
oh, mon âme, née des collines ombragées,
sous des nuées, des vents et des fantômes qu’effarouche le soleil,
combien faudra-t-il de morts pour enfin briser
cet héritage qui m’enveloppe dans l’habit
gris des spectres ? je sonde mon cœur et trouve
cimmérie, terre des ténèbres et de la nuit.",en_XX,fr_XX,0
"so we dwelt in the war-girdled city as a very part of its life.
looking back at it all from england, i an atom of the strife,
i can see that i might have seen what the end would be from the first,
the hope of man devoured in the day when the gods are athirst.
but those days we lived, as i tell you, a life that was not our own;
and we saw but the hope of the world, and the seed that the ages had sown,
spring up now a fair-blossomed tree from the earth lying over the dead;
earth quickened, earth kindled to spring-tide with the blood that her lovers have shed,
with the happy days cast off for the sake of her happy day,
with the love of women foregone, and the bright youth worn away,
with the gentleness stripped from the lives thrust into the jostle of war,
with the hope of the hardy heart forever dwindling afar.","dans la cité assiégée ainsi nous demeurâmes, à part entière un fragment de sa vie.
y songeant à présent depuis l’angleterre, moi qui ne suis qu’un atome dans la lutte,
je puis voir que j’ai peut-être assisté au début de ce que serait la fin du monde,
l’espoir de l’homme dévoré au temps où les dieux ont soif.
mais, comme je vous le disais, nous vivions en ces jours une vie qui n’était pas la nôtre ;
et nous ne vîmes que l’espoir du monde, la graine semée par les âges,
et le bel arbre en fleur engendré soudain de la terre qui recouvrait les morts ;
la terre diligente, la terre levée en marée de vive-eau, exaltée par le sang répandu de ses amants,
par les jours heureux défaits pour le bien de son jour de bonheur à elle,
par l’amour des femmes de jadis, et la splendeur de la jeunesse consumée,
par la douceur dépouillée des vies précipitées dans les remous de la guerre,
par l’espérance du cœur endurci qui s’épuise au loin, pour toujours.",en_XX,fr_XX,0
"o earth, earth, look on thy lovers, who knew all thy gifts and thy gain,
but cast them aside for thy sake, and caught up barren pain!
indeed of some art thou mindful, and ne’er shalt forget their tale,
till shrunk are the floods of thine ocean and thy sun is waxen pale.
but rather i bid thee remember e’en these of the latter days,
who were fed by no fair promise and made drunken by no praise.
for them no opening heaven reached out the martyr’s crown;
no folk delivered wept them, and no harvest of renown
they reaped with the scythe of battle; nor round their dying bed
did kindly friendly farewell the dew of blessing shed;
in the sordid streets of the city mid a folk that knew them not,
in the living death of the prison didst thou deal them out their lot,
yet foundest them deeds to be doing; and no feeble folk were they
to scowl on their own undoing and wail their lives away;
but oft were they blithe and merry and deft from the strife to wring
some joy that others gained not midst their peaceful wayfaring.
so fared they, giftless ever, and no help of fortune sought.
their life was thy deliverance, o earth, and for thee they fought;
mid the jeers of the happy and deedless, mid failing friends they went
to their foredoomed fruitful ending on the love of thee intent.","ô terre, terre, veille sur tes amants, qui connaissaient tous tes bienfaits et tes dons,
mais s’en débarrassèrent pour ton bien, pour s’emparer d’une douleur aride !
en vérité, prends soin de certains d’entre eux, n’oublie jamais leur histoire,
jusqu’à ce que diminue le flot de tes océans, que ton soleil prenne la teinte pâle de la cire.
souviens-toi plutôt, je te prie, de ceux-là qui, aux derniers jours,
ne furent rassasiés d’aucune belle promesse ni enivrés d’aucun éloge.
pour eux, il n’y eut pas de cieux grands ouverts pour tendre la couronne du martyre ;
nul peuple délivré ne les pleura, nulle moisson de gloire
ne fut par eux fauchée dans la bataille ; il n’y eut pas, près de leur lit de mort,
la bénédiction qu’épanchent en douce rosée les adieux d’amis rassemblés ;
dans les ruelles sordides de la cité, parmi un peuple qui ne les connaissait pas,
dans la mort vivante du cachot, en effet, tu leur fis un sort,
et pourtant tu leur trouvas des œuvres à accomplir ; ils n’étaient pas de la valetaille
pour s’irriter de leur propre déconfiture et se lamenter pour le reste de leurs jours ;
ils se montraient souvent plaisants et joyeux, adroits à extorquer de la lutte
une part de gaieté, que d’autres ne trouvent pas lors d’une randonnée paisible.
ainsi se débrouillaient-ils, toujours démunis, sans solliciter l’aide de la fortune.
leur vie fut ta délivrance, ô terre, c’est pour toi qu’ils luttèrent ;
parmi les railleries des bienheureux et des désœuvrés, parmi les amis tombés, ils allèrent
à leur perte funeste mais féconde, par amour de ta volonté.",en_XX,fr_XX,0
